timesteps,avg_waiting_time,max_waiting_time,throughput,reward
10,0.0,0.0,1,-0.0
20,0.0,0.0,1,-0.0
30,0.0,0.0,1,-0.0
40,0.0,0.0,2,-0.0
50,0.0,0.0,3,-0.0
60,0.0,0.0,3,-0.0
70,0.0,0.0,6,-0.0
80,0.0,0.0,11,-0.0
90,0.0,0.0,15,-0.0
100,0.0,0.0,0,-0.0
110,0.0,0.0,1,-0.0
120,0.0,0.0,1,-0.0
130,0.0,0.0,1,-0.0
140,6.0,6.0,2,-0.0036
150,16.0,16.0,3,-0.0256
160,0.0,0.0,3,-0.0
170,0.0,0.0,7,-0.0
180,0.0,0.0,12,-0.0
190,0.0,0.0,15,-0.0
200,0.0,0.0,0,-0.0
210,0.0,0.0,1,-0.0
220,0.0,0.0,1,-0.0
230,0.0,0.0,1,-0.0
240,0.0,0.0,3,-0.0
250,0.0,0.0,3,-0.0
260,0.0,0.0,3,-0.0
270,2.0,2.0,6,-0.0004
280,0.0,0.0,12,-0.0
290,0.0,0.0,15,-0.0
300,0.0,0.0,0,-0.0
310,0.0,0.0,1,-0.0
320,0.0,0.0,1,-0.0
330,0.0,0.0,1,-0.0
340,0.0,0.0,3,-0.0
350,0.0,0.0,3,-0.0
360,0.0,0.0,3,-0.0
370,4.0,5.0,7,-0.0034
380,14.0,15.0,12,-0.0394
390,24.0,25.0,15,-0.1154
400,0.0,0.0,0,-0.0
410,0.0,0.0,1,-0.0
420,0.0,0.0,1,-0.0
430,0.0,0.0,1,-0.0
440,0.0,0.0,3,-0.0
450,0.0,0.0,3,-0.0
460,0.0,0.0,3,-0.0
470,0.0,0.0,9,-0.0
480,0.0,0.0,12,-0.0
490,0.0,0.0,16,-0.0
500,0.0,0.0,0,-0.0
510,0.0,0.0,1,-0.0
520,0.0,0.0,1,-0.0
530,0.0,0.0,1,-0.0
540,10.0,10.0,3,-0.01
550,0.0,0.0,3,-0.0
560,0.0,0.0,3,-0.0
570,2.0,2.0,10,-0.0004
580,0.0,0.0,13,-0.0
590,0.0,0.0,16,-0.0
600,0.0,0.0,1,-0.0
610,0.0,0.0,1,-0.0
620,0.0,0.0,1,-0.0
630,0.0,0.0,1,-0.0
640,0.0,0.0,3,-0.0
650,0.0,0.0,3,-0.0
660,0.0,0.0,3,-0.0
670,0.0,0.0,9,-0.0
680,0.0,0.0,15,-0.0
690,0.0,0.0,15,-0.0
700,0.0,0.0,1,-0.0
710,0.0,0.0,1,-0.0
720,0.0,0.0,1,-0.0
730,2.0,2.0,1,-0.0004
740,12.0,12.0,3,-0.0144
750,22.0,22.0,3,-0.0484
760,0.0,0.0,4,-0.0
770,8.0,9.0,10,-0.013
780,17.0,17.0,16,-0.0289
790,5.0,5.0,16,-0.0025
800,0.0,0.0,1,-0.0
810,0.0,0.0,1,-0.0
820,0.0,0.0,1,-0.0
830,0.0,0.0,1,-0.0
840,0.0,0.0,3,-0.0
850,0.0,0.0,3,-0.0
860,0.0,0.0,3,-0.0
870,9.0,10.0,10,-0.0164
880,19.0,20.0,15,-0.0724
890,3.0,3.0,18,-0.0009
900,0.0,0.0,1,-0.0
910,0.0,0.0,1,-0.0
920,0.0,0.0,1,-0.0
930,4.0,4.0,2,-0.0016
940,0.0,0.0,3,-0.0
950,0.0,0.0,3,-0.0
960,1.0,1.0,5,-0.0001
970,10.0,11.0,11,-0.0202
980,4.0,4.0,15,-0.0016
990,6.666666666666667,14.0,18,-0.0216
1000,0.0,0.0,1,-0.0
1010,0.0,0.0,1,-0.0
1020,0.0,0.0,1,-0.0
1030,5.0,5.0,2,-0.0025
1040,15.0,15.0,3,-0.0225
1050,25.0,25.0,3,-0.0625
1060,35.0,35.0,7,-0.1225
1070,45.0,45.0,12,-0.2025
1080,55.0,55.0,16,-0.3025
1090,0.0,0.0,0,-0.0
1100,0.0,0.0,1,-0.0
1110,0.0,0.0,1,-0.0
1120,0.0,0.0,1,-0.0
1130,6.0,6.0,2,-0.0036
1140,16.0,16.0,3,-0.0256
1150,26.0,26.0,3,-0.0676
1160,36.0,36.0,7,-0.1296
1170,0.0,0.0,12,-0.0
1180,0.0,0.0,16,-0.0
1190,0.0,0.0,0,-0.0
1200,0.0,0.0,1,-0.0
1210,0.0,0.0,1,-0.0
1220,0.0,0.0,1,-0.0
1230,7.0,7.0,3,-0.0049
1240,17.0,17.0,3,-0.0289
1250,27.0,27.0,3,-0.0729
1260,1.0,1.0,7,-0.0001
1270,11.0,11.0,13,-0.0121
1280,21.0,21.0,16,-0.0441
1290,0.0,0.0,0,-0.0
1300,0.0,0.0,1,-0.0
1310,0.0,0.0,1,-0.0
1320,0.0,0.0,1,-0.0
1330,0.0,0.0,3,-0.0
1340,0.0,0.0,3,-0.0
1350,0.0,0.0,2,-0.0
1360,4.0,5.0,7,-0.0034
1370,14.0,15.0,12,-0.0394
1380,24.0,25.0,15,-0.1154
1390,0.0,0.0,0,-0.0
1400,0.0,0.0,1,-0.0
1410,0.0,0.0,1,-0.0
1420,0.0,0.0,1,-0.0
1430,9.0,9.0,3,-0.0081
1440,19.0,19.0,3,-0.0361
1450,0.0,0.0,3,-0.0
1460,5.0,6.0,10,-0.0052
1470,15.0,16.0,13,-0.0452
1480,25.0,26.0,16,-0.1252
