timesteps,avg_waiting_time,max_waiting_time,throughput,reward
10,0.0,0.0,18,-0.0
20,0.0,0.0,36,-0.0
30,0.0,0.0,54,-0.0
40,3.6666666666666665,10.0,72,-0.0146
50,3.6666666666666665,7.0,90,-0.0108
60,6.444444444444445,13.0,104,-0.0936
70,6.05,20.0,109,-0.1299
80,7.476190476190476,30.0,117,-0.2567
90,9.125,40.0,125,-0.5794
100,0.0,0.0,8,-0.0
110,0.0,0.0,26,-0.0
120,0.0,0.0,45,-0.0
130,1.0,1.0,62,-0.0002
140,4.538461538461538,10.0,81,-0.0377
150,2.5384615384615383,8.0,99,-0.0137
160,4.818181818181818,11.0,114,-0.07
170,7.8076923076923075,21.0,122,-0.2351
180,3.380952380952381,10.0,127,-0.0385
190,3.1904761904761907,9.0,134,-0.0311
200,0.0,0.0,9,-0.0
210,0.0,0.0,27,-0.0
220,0.0,0.0,45,-0.0
230,2.0,2.0,62,-0.0004
240,5.285714285714286,12.0,81,-0.0287
250,5.583333333333333,18.0,99,-0.0701
260,2.8823529411764706,7.0,108,-0.0187
270,4.764705882352941,17.0,114,-0.0727
280,7.230769230769231,27.0,124,-0.249
290,8.612903225806452,29.0,131,-0.3933
300,0.0,0.0,9,-0.0
310,0.0,0.0,26,-0.0
320,0.0,0.0,45,-0.0
330,3.0,3.0,63,-0.0009
340,3.2,4.0,80,-0.0058
350,2.2857142857142856,4.0,99,-0.0046
360,5.076923076923077,10.0,111,-0.0438
370,5.041666666666667,18.0,114,-0.1065
380,4.277777777777778,9.0,118,-0.0447
390,4.576923076923077,13.0,123,-0.0751
400,0.0,0.0,9,-0.0
410,0.0,0.0,27,-0.0
420,0.0,0.0,45,-0.0
430,3.6666666666666665,4.0,63,-0.0041
440,5.5,10.0,81,-0.0101
450,4.090909090909091,10.0,99,-0.0335
460,3.0,7.0,108,-0.0183
470,4.181818181818182,10.0,114,-0.0524
480,4.538461538461538,11.0,120,-0.0756
490,4.310344827586207,16.0,125,-0.1047
500,0.0,0.0,9,-0.0
510,0.0,0.0,27,-0.0
520,0.0,0.0,45,-0.0
530,3.0,5.0,63,-0.0026
540,4.454545454545454,15.0,81,-0.0439
550,7.4375,25.0,99,-0.1745
560,9.75,35.0,108,-0.4163
570,11.379310344827585,45.0,118,-0.8561
580,12.4,42.0,124,-0.918
590,4.222222222222222,22.0,126,-0.1414
600,0.0,0.0,17,-0.0
610,0.0,0.0,36,-0.0
620,0.0,0.0,53,-0.0
630,1.0,1.0,71,-0.0002
640,4.083333333333333,10.0,89,-0.0327
650,5.785714285714286,10.0,107,-0.0595
660,3.6538461538461537,8.0,118,-0.0425
