timesteps,avg_waiting_time,max_waiting_time,throughput,reward
10,0.0,0.0,18,-0.0
20,0.0,0.0,36,-0.0
30,0.0,0.0,54,-0.0
40,3.75,6.0,72,-0.0146
50,2.2857142857142856,5.0,90,-0.0052
60,4.090909090909091,10.0,104,-0.0283
70,4.375,13.0,111,-0.0456
80,5.823529411764706,17.0,116,-0.0975
90,4.230769230769231,15.0,118,-0.0748
100,0.0,0.0,8,-0.0
110,0.0,0.0,25,-0.0
120,0.0,0.0,44,-0.0
130,1.0,1.0,61,-0.0001
140,3.4444444444444446,11.0,81,-0.0199
150,6.9,21.0,99,-0.0987
160,9.466666666666667,31.0,112,-0.2894
170,14.5625,41.0,120,-0.6353
180,10.869565217391305,38.0,127,-0.5434
190,5.6,18.0,131,-0.154
200,0.0,0.0,8,-0.0
210,0.0,0.0,26,-0.0
220,0.0,0.0,44,-0.0
230,2.0,2.0,63,-0.0012
240,3.1666666666666665,5.0,80,-0.0073
250,2.6666666666666665,6.0,97,-0.0088
260,5.260869565217392,13.0,110,-0.0907
270,6.782608695652174,17.0,119,-0.1752
280,7.958333333333333,25.0,123,-0.2661
290,2.9642857142857144,12.0,131,-0.0443
300,0.0,0.0,8,-0.0
310,0.0,0.0,27,-0.0
320,0.0,0.0,44,-0.0
330,3.0,3.0,63,-0.0018
340,2.25,5.0,80,-0.0054
350,2.2222222222222223,4.0,98,-0.0054
360,6.7,13.0,111,-0.1202
370,3.5714285714285716,13.0,115,-0.0465
380,4.157894736842105,13.0,121,-0.0573
390,4.903225806451613,23.0,128,-0.148
400,0.0,0.0,9,-0.0
410,0.0,0.0,27,-0.0
420,0.0,0.0,45,-0.0
430,0.0,0.0,63,-0.0
440,2.4,3.0,81,-0.0032
450,2.5,6.0,99,-0.0082
460,4.526315789473684,14.0,107,-0.0598
470,8.25,17.0,113,-0.2258
480,5.565217391304348,18.0,119,-0.114
490,6.0588235294117645,14.0,124,-0.1696
500,0.0,0.0,9,-0.0
510,0.0,0.0,27,-0.0
520,0.0,0.0,45,-0.0
530,3.0,5.0,63,-0.0026
540,4.428571428571429,8.0,81,-0.0167
550,2.0,5.0,99,-0.0052
560,5.266666666666667,11.0,106,-0.0537
570,3.2,5.0,114,-0.0122
580,4.133333333333334,10.0,116,-0.038
590,4.925925925925926,13.0,124,-0.0933
600,0.0,0.0,18,-0.0
610,0.0,0.0,36,-0.0
620,0.0,0.0,53,-0.0
630,0.0,0.0,72,-0.0
640,4.4,9.0,89,-0.0144
650,8.545454545454545,19.0,106,-0.1176
660,2.75,7.0,113,-0.0147
670,4.714285714285714,12.0,121,-0.0705
